"predicted_x","predicted_y","frame_index"
NA,-5,1
NA,-4.5,1
NA,-4,1
NA,-3.5,1
-1.09713052637489,-3,1
-1.13065946638907,-2.5,1
-1.10141458372441,-2,1
-1.00923617197795,-1.5,1
-0.828238507932436,-1,1
-0.614207911068384,-0.5,1
-0.485570420050743,0,1
-0.523791935736928,0.5,1
-0.68165445691513,1,1
-0.851881360024415,1.5,1
-0.967407764531372,2,1
-1.04031187826062,2.5,1
-1.07655338822162,3,1
-1.07911505036305,3.5,1
-1.04717620243179,4,1
-0.979916182174678,4.5,1
NA,5,1
NA,-5,2
NA,-4.5,2
NA,-4,2
NA,-3.5,2
-1.10560767483593,-3,2
-1.1358918024492,-2.5,2
-1.10529379965866,-2,2
-1.01385303495759,-1.5,2
-0.837154639963231,-1,2
-0.628950115901585,-0.5,2
-0.503686908315781,0,2
-0.538998232703196,0.5,2
-0.690778574449745,1,2
-0.857648249118907,1.5,2
-0.973785661083877,2,2
-1.04751278053446,2.5,2
-1.08223792603047,3,2
-1.08094232405414,3.5,2
-1.04332985582099,4,2
-0.969104402546539,4.5,2
NA,5,2
NA,-5,3
NA,-4.5,3
NA,-4,3
NA,-3.5,3
-1.11797995761012,-3,3
-1.14674512569213,-2.5,3
-1.11516824607391,-2,3
-1.02312441442691,-1.5,3
-0.847072843401469,-1,3
-0.642307532122808,-0.5,3
-0.519797966531921,0,3
-0.555117187187933,0.5,3
-0.70283042509418,1,3
-0.86607756266119,1.5,3
-0.982256731695461,2,3
-1.05696920419058,2.5,3
-1.09213910683559,3,3
-1.09064493011295,3.5,3
-1.05250009029804,4,3
-0.977718003666226,4.5,3
NA,5,3
NA,-5,4
NA,-4.5,4
NA,-4,4
NA,-3.5,4
-1.1378193905897,-3,4
-1.16070168048438,-2.5,4
-1.12603560687647,-2,4
-1.03341174707155,-1.5,4
-0.860135286512723,-1,4
-0.660196563438877,-0.5,4
-0.542027259539461,0,4
-0.57541975597524,0.5,4
-0.719367344744431,1,4
-0.878792119174648,1.5,4
-0.997173522982894,2,4
