"predicted_x","predicted_y","frame_index"
-1.50619021634954,-5,1
-1.61144366660828,-4.5,1
-1.67552519192071,-4,1
-1.70746547200677,-3.5,1
-1.68455135306994,-3,1
-1.62016271712983,-2.5,1
-1.36171801323551,-2,1
-0.979364870869464,-1.5,1
-0.564567805992157,-1,1
-0.746114524098698,-0.5,1
-1.36689221329652,0,1
-1.88790969158365,0.5,1
-1.90013735112454,1,1
-1.72937129263596,1.5,1
-1.51821587698396,2,1
-1.29874003602332,2.5,1
-1.04663031515587,3,1
-0.766035910943451,3.5,1
NA,4,1
NA,4.5,1
NA,5,1
-1.79051966994215,-5,2
-1.7078232528945,-4.5,2
-1.6115383162601,-4,2
-1.50571613768895,-3.5,2
-1.3822310635035,-3,2
-1.24495470682854,-2.5,2
-1.04029579991484,-2,2
-0.811038983792707,-1.5,2
-0.62447230065036,-1,2
-0.784049397142457,-0.5,2
-1.34457467382954,0,2
-1.83369722343456,0.5,2
-1.84364750605187,1,2
-1.68391362162418,1.5,2
-1.49112758302101,2,2
-1.2908190918035,2.5,2
-1.06105028011739,3,2
-0.805800798540886,3.5,2
NA,4,2
NA,4.5,2
NA,5,2
-1.31106232208326,-5,3
-1.51296443328608,-4.5,3
-1.66469568176638,-4,3
-1.77840915441321,-3.5,3
-1.82626433916846,-3,3
-1.81935753826181,-2.5,3
-1.56938321244064,-2,3
-1.15637226599665,-1.5,3
-0.650615139486978,-1,3
-0.761985579146086,-0.5,3
-1.30274820123388,0,3
-1.75014931267754,0.5,3
-1.80073159522387,1,3
-1.61555933328406,1.5,3
-1.44769084191307,2,3
-1.28229580979815,2.5,3
-1.09485535871658,3,3
-0.89101205282499,3.5,3
NA,4,3
NA,4.5,3
NA,5,3
-1.20824499282797,-5,4
-1.45325757787662,-4.5,4
-1.64871616577051,-4,4
-1.8050405918429,-3.5,4
-1.90368626945263,-3,4
-1.93491628458107,-2.5,4
-1.89173620576387,-2,4
-1.55334497275596,-1.5,4
-0.978478291310139,-1,4
-0.844628785126803,-0.5,4
-1.19635647370432,0,4
-1.50145526430985,0.5,4
-1.52711330324269,1,4
-1.41712513972428,1.5,4
-1.31874889541589,2,4
-1.22669916187933,2.5,4
-1.1457861385036,3,4
-1.07204691546174,3.5,4
-0.998563120201815,4,4
NA,4.5,4
NA,5,4
-1.46776571237623,-5,5
-1.59686384238125,-4.5,5
-1.67683318684656,-4,5
-1.70796163793979,-3.5,5
-1.6793265080155,-3,5
-1.59164868153738,-2.5,5
-1.47067974112055,-2,5
-1.21542719188125,-1.5,5
-0.891665313753536,-1,5
-0.994872265866629,-0.5,5
-1.23481146955004,0,5
-1.33962364465903,0.5,5
-1.30617703711926,1,5
-1.24718600994864,1.5,5
-1.21144882081269,2,5
-1.18341575493021,2.5,5
-1.16685675719686,3,5
-1.16033129580972,3.5,5
-1.16166957092973,4,5
NA,4.5,5
NA,5,5
-1.69859184486469,-5,6
-1.63697047750446,-4.5,6
-1.5783546713679,-4,6
-1.52018550956675,-3.5,6
-1.45953160008626,-3,6
-1.39373241620468,-2.5,6
-1.35773961170086,-2,6
-1.34942318219037,-1.5,6
-1.32038597898482,-1,6
-1.39938669536833,-0.5,6
-1.38537798644529,0,6
-1.28329629896807,0.5,6
-1.19624234578829,1,6
-1.15184828366933,1.5,6
-1.15679407390892,2,6
-1.18296833854012,2.5,6
-1.22743701428549,3,6
-1.29194412753374,3.5,6
-1.37747025438185,4,6
-1.48499597092683,4.5,6
NA,5,6
-1.73048741611797,-5,7
-1.70065792743306,-4.5,7
-1.6600474243236,-4,7
-1.6043950419424,-3.5,7
-1.53090539709483,-3,7
-1.43391418168292,-2.5,7
-1.33472322531586,-2,7
-1.3129523419456,-1.5,7
-1.31176653558413,-1,7
-1.47017902208977,-0.5,7
-1.574527010069,0,7
-1.46857140827441,0.5,7
-1.27863853800692,1,7
-1.15928248645993,1.5,7
-1.17058484056056,2,7
-1.23377801036875,2.5,7
-1.32827951026458,3,7
-1.45787016391558,3.5,7
-1.62528406237026,4,7
-1.83325529667714,4.5,7
NA,5,7
-1.44485548698164,-5,8
-1.72525771342603,-4.5,8
-1.90366002118156,-4,8
-1.97391778374472,-3.5,8
-1.9255439704749,-3,8
-1.76113359737271,-2.5,8
-1.48867881009929,-2,8
-1.1201292082336,-1.5,8
-0.796969995884739,-1,8
-1.06929902655897,-0.5,8
-1.43171991106633,0,8
-1.41839149446312,0.5,8
-1.347756917347,1,8
-1.24848415755916,1.5,8
-1.30515817942676,2,8
-1.40883530419458,2.5,8
-1.53135001921172,3,8
-1.67739702492494,3.5,8
-1.84965581316772,4,8
-2.05080587577355,4.5,8
NA,5,8
-1.82766181415178,-5,9
-1.88159115508885,-4.5,9
-1.89853641258478,-4,9
-1.87191980032766,-3.5,9
-1.79343725434383,-3,9
-1.66577711745971,-2.5,9
-1.52040928037293,-2,9
-1.44262071224823,-1.5,9
-1.52560593663525,-1,9
-1.65692418320455,-0.5,9
-1.67654018657129,0,9
-1.54172629584921,0.5,9
-1.3590428866749,1,9
-1.26950839795163,1.5,9
-1.38030595565237,2,9
-1.54790543355917,2.5,9
-1.68999300490879,3,9
-1.83721629959005,3.5,9
-1.99033665064746,4,9
-2.15011539112554,4.5,9
-2.31731385406882,5,9
-1.88264903293538,-5,10
-2.03354184827491,-4.5,10
-2.10277314639797,-4,10
-2.08637857381819,-3.5,10
-1.97485563854918,-3,10
-1.7758475482017,-2.5,10
-1.46887842032189,-2,10
-1.05096857481595,-1.5,10
-0.903553235639916,-1,10
-1.12500301422426,-0.5,10
-1.52471323103876,0,10
-1.82732601423942,0.5,10
-1.90329497275302,1,10
-1.79737963569004,1.5,10
-1.81790749764708,2,10
-1.86990206009207,2.5,10
-1.95097933340593,3,10
-2.04107439349826,3.5,10
-2.14158706967698,4,10
-2.25391719125005,4.5,10
-2.3794645875254,5,10
NA,-6,11
-2.71948523525202,-5.5,11
-2.27004834375707,-5,11
-1.95675604326657,-4.5,11
-1.77886037338125,-4,11
-1.74105881175512,-3.5,11
-1.85677785883191,-3,11
-2.10169253834705,-2.5,11
-2.51457545394217,-2,11
-3.35918294809947,-1.5,11
-3.92581088492278,-1,11
-3.77963436604877,-0.5,11
-3.06657096667876,0,11
-2.24000779877349,0.5,11
-1.7055602678812,1,11
-1.61748148727052,1.5,11
-1.70665175178462,2,11
-1.88535147008238,2.5,11
-2.04565535477731,3,11
-2.19892151598701,3.5,11
-2.35932136958743,4,11
-2.53594075046871,4.5,11
-2.73786549352101,5,11
NA,5.5,11
NA,6,11
-2.14800175983645,-6,12
-2.07281628666799,-5.5,12
-2.01765729510969,-5,12
-1.98554848985339,-4.5,12
-1.97951357559092,-4,12
-1.99568286064703,-3.5,12
-2.03632562299141,-3,12
-2.08444213425242,-2.5,12
-2.08889156641978,-2,12
-2.28503322658017,-1.5,12
-2.50011124483116,-1,12
-2.53201274515276,-0.5,12
-2.37018870198852,0,12
-2.13567363828908,0.5,12
-1.99380864872681,1,12
-1.91724698183443,1.5,12
-1.99501945640486,2,12
-2.12126455485933,2.5,12
-2.24896593236832,3,12
-2.37180897710148,3.5,12
-2.49891876917527,4,12
-2.63389972722931,4.5,12
-2.78035626990322,5,12
NA,5.5,12
NA,6,12
-12.1988488285058,-7,13
-12.3122203769855,-6.5,13
-12.2696444549065,-6,13
-12.0182935268314,-5.5,13
-11.5053400573227,-5,13
-10.677956510943,-4.5,13
-9.48331535225491,-4,13
-7.9149344119814,-3.5,13
-6.20598336600261,-3,13
-4.8610826579149,-2.5,13
-3.66406778213503,-2,13
-3.42081438780889,-1.5,13
-4.10269779609935,-1,13
-4.56115799257444,-0.5,13
-4.39940181384718,0,13
-3.48295305826864,0.5,13
-2.46994987658882,1,13
-1.64004541174112,1.5,13
-1.73745537110134,2,13
-2.01316659762926,2.5,13
-2.24438513900134,3,13
-2.47347579444205,3.5,13
-2.74335618084437,4,13
-3.06341074613399,4.5,13
-3.4430239382366,5,13
NA,5.5,13
NA,6,13
NA,6.5,13
NA,7,13
NA,-8,14
-3.3891699011245,-7.5,14
-3.06582184990878,-7,14
-2.79048570455523,-6.5,14
-2.56318657863932,-6,14
-2.38394958573654,-5.5,14
-2.25279983942236,-5,14
-2.16976245327227,-4.5,14
-2.13486254086174,-4,14
-2.14958191661619,-3.5,14
-2.28941091183921,-3,14
-2.44057037217457,-2.5,14
-2.41279967441071,-2,14
-2.31360185060333,-1.5,14
-2.2598079818614,-1,14
-2.25506493277872,-0.5,14
-2.24895198947397,0,14
-2.2540890104362,0.5,14
-2.30044025373874,1,14
-2.3532402367553,1.5,14
-2.43280139370238,2,14
-2.53511673785748,2.5,14
-2.65198947169616,3,14
-2.76253071355697,3.5,14
-2.87241955015687,4,14
-2.98300398067034,4.5,14
-3.09563200427182,5,14
NA,5.5,14
NA,6,14
NA,6.5,14
NA,7,14
NA,7.5,14
NA,8,14
-2.9421845131207,-8,15
-2.91646370382053,-7.5,15
-2.88938408587222,-7,15
-2.86089200657762,-6.5,15
-2.83093381323859,-6,15
-2.79945585315698,-5.5,15
-2.76640447363465,-5,15
-2.73172602197346,-4.5,15
-2.68981706890026,-4,15
-2.65192830956247,-3.5,15
-2.61074275986235,-3,15
-2.5469670556938,-2.5,15
-2.39269831300857,-2,15
-2.33195380835545,-1.5,15
-2.34274343482597,-1,15
-2.38101312561491,-0.5,15
-2.40365284921116,0,15
-2.41621553766373,0.5,15
-2.45672321358681,1,15
-2.50678978374577,1.5,15
-2.59443339875552,2,15
-2.69860394271684,2.5,15
-2.80588179448555,3,15
-2.89167055559496,3.5,15
-2.96131881969519,4,15
-3.01850469589789,4.5,15
-3.06690629331474,5,15
NA,5.5,15
NA,6,15
NA,6.5,15
NA,7,15
NA,7.5,15
NA,8,15
-2.82685105332945,-9,16
-2.84214316727673,-8.5,16
-2.85254345449599,-8,16
-2.85798199266921,-7.5,16
-2.85838885947838,-7,16
-2.85369413260549,-6.5,16
-2.84382788973251,-6,16
-2.82872020854144,-5.5,16
-2.80830116671427,-5,16
-2.78250084193297,-4.5,16
-2.74606437584257,-4,16
-2.70642782313439,-3.5,16
-2.65736108649947,-3,16
-2.59297189667839,-2.5,16
-2.43731432721869,-2,16
-2.3992531476903,-1.5,16
-2.44379705689314,-1,16
-2.50498032152039,-0.5,16
-2.53944106710028,0,16
-2.55198502582513,0.5,16
-2.58893870712574,1,16
-2.65704606944831,1.5,16
-2.75762617505197,2,16
-2.8671985137511,2.5,16
-2.96037018149125,3,16
-3.04501069596722,3.5,16
-3.12160876537229,4,16
-3.19065309789972,4.5,16
-3.25263240174279,5,16
NA,5.5,16
NA,6,16
NA,6.5,16
NA,7,16
NA,7.5,16
NA,8,16
NA,8.5,16
NA,9,16
NA,-10,17
-2.79298821377107,-9.5,17
-2.77695262961029,-9,17
-2.76452392723651,-8.5,17
-2.75548553701113,-8,17
