bin_id,bin_area,gameId,playId,frameId,relevant_frame
1,3.721731984,2020_04_DEN_NYJ,76,64,1
2,4,2020_04_DEN_NYJ,76,64,1
3,4,2020_04_DEN_NYJ,76,64,1
4,4,2020_04_DEN_NYJ,76,64,1
5,4,2020_04_DEN_NYJ,76,64,1
6,4,2020_04_DEN_NYJ,76,64,1
7,4,2020_04_DEN_NYJ,76,64,1
8,4,2020_04_DEN_NYJ,76,64,1
9,4,2020_04_DEN_NYJ,76,64,1
10,4,2020_04_DEN_NYJ,76,64,1
11,4,2020_04_DEN_NYJ,76,64,1
12,4,2020_04_DEN_NYJ,76,64,1
13,4,2020_04_DEN_NYJ,76,64,1
14,4,2020_04_DEN_NYJ,76,64,1
15,4,2020_04_DEN_NYJ,76,64,1
16,4,2020_04_DEN_NYJ,76,64,1
17,4,2020_04_DEN_NYJ,76,64,1
18,4,2020_04_DEN_NYJ,76,64,1
19,4,2020_04_DEN_NYJ,76,64,1
20,4,2020_04_DEN_NYJ,76,64,1
21,4,2020_04_DEN_NYJ,76,64,1
22,4,2020_04_DEN_NYJ,76,64,1
23,4,2020_04_DEN_NYJ,76,64,1
24,4,2020_04_DEN_NYJ,76,64,1
25,4,2020_04_DEN_NYJ,76,64,1
26,2.29827393,2020_04_DEN_NYJ,76,64,1
27,3.976137704,2020_04_DEN_NYJ,76,64,1
28,4,2020_04_DEN_NYJ,76,64,1
29,4,2020_04_DEN_NYJ,76,64,1
30,4,2020_04_DEN_NYJ,76,64,1
1,3.766822181,2020_04_DEN_NYJ,76,65,2
2,4,2020_04_DEN_NYJ,76,65,2
3,4,2020_04_DEN_NYJ,76,65,2
4,4,2020_04_DEN_NYJ,76,65,2
5,4,2020_04_DEN_NYJ,76,65,2
6,3.951865756,2020_04_DEN_NYJ,76,65,2
7,4,2020_04_DEN_NYJ,76,65,2
8,4,2020_04_DEN_NYJ,76,65,2
9,4,2020_04_DEN_NYJ,76,65,2
10,4,2020_04_DEN_NYJ,76,65,2
11,3.958024739,2020_04_DEN_NYJ,76,65,2
12,4,2020_04_DEN_NYJ,76,65,2
13,4,2020_04_DEN_NYJ,76,65,2
14,4,2020_04_DEN_NYJ,76,65,2
15,4,2020_04_DEN_NYJ,76,65,2
16,3.925290438,2020_04_DEN_NYJ,76,65,2
17,4,2020_04_DEN_NYJ,76,65,2
18,4,2020_04_DEN_NYJ,76,65,2
19,4,2020_04_DEN_NYJ,76,65,2
20,4,2020_04_DEN_NYJ,76,65,2
21,3.995604179,2020_04_DEN_NYJ,76,65,2
22,4,2020_04_DEN_NYJ,76,65,2
23,4,2020_04_DEN_NYJ,76,65,2
24,4,2020_04_DEN_NYJ,76,65,2
25,4,2020_04_DEN_NYJ,76,65,2
26,2.22964149,2020_04_DEN_NYJ,76,65,2
27,3.979218119,2020_04_DEN_NYJ,76,65,2
28,4,2020_04_DEN_NYJ,76,65,2
29,4,2020_04_DEN_NYJ,76,65,2
30,4,2020_04_DEN_NYJ,76,65,2
1,3.813423958,2020_04_DEN_NYJ,76,66,3
2,4,2020_04_DEN_NYJ,76,66,3
3,4,2020_04_DEN_NYJ,76,66,3
4,4,2020_04_DEN_NYJ,76,66,3
5,4,2020_04_DEN_NYJ,76,66,3
6,3.82649379,2020_04_DEN_NYJ,76,66,3
7,4,2020_04_DEN_NYJ,76,66,3
8,4,2020_04_DEN_NYJ,76,66,3
9,4,2020_04_DEN_NYJ,76,66,3
10,4,2020_04_DEN_NYJ,76,66,3
11,3.909388676,2020_04_DEN_NYJ,76,66,3
12,4,2020_04_DEN_NYJ,76,66,3
13,4,2020_04_DEN_NYJ,76,66,3
14,4,2020_04_DEN_NYJ,76,66,3
15,4,2020_04_DEN_NYJ,76,66,3
16,3.741803401,2020_04_DEN_NYJ,76,66,3
17,4,2020_04_DEN_NYJ,76,66,3
18,4,2020_04_DEN_NYJ,76,66,3
19,4,2020_04_DEN_NYJ,76,66,3
20,4,2020_04_DEN_NYJ,76,66,3
21,3.986751473,2020_04_DEN_NYJ,76,66,3
22,4,2020_04_DEN_NYJ,76,66,3
23,4,2020_04_DEN_NYJ,76,66,3
24,4,2020_04_DEN_NYJ,76,66,3
25,4,2020_04_DEN_NYJ,76,66,3
26,1.88273324,2020_04_DEN_NYJ,76,66,3
27,3.925759151,2020_04_DEN_NYJ,76,66,3
28,4,2020_04_DEN_NYJ,76,66,3
29,4,2020_04_DEN_NYJ,76,66,3
30,4,2020_04_DEN_NYJ,76,66,3
1,3.857289542,2020_04_DEN_NYJ,76,67,4
2,4,2020_04_DEN_NYJ,76,67,4
3,4,2020_04_DEN_NYJ,76,67,4
4,4,2020_04_DEN_NYJ,76,67,4
5,4,2020_04_DEN_NYJ,76,67,4
6,3.64704575,2020_04_DEN_NYJ,76,67,4
7,4,2020_04_DEN_NYJ,76,67,4
8,4,2020_04_DEN_NYJ,76,67,4
9,4,2020_04_DEN_NYJ,76,67,4
10,4,2020_04_DEN_NYJ,76,67,4
11,3.776221948,2020_04_DEN_NYJ,76,67,4
12,4,2020_04_DEN_NYJ,76,67,4
13,4,2020_04_DEN_NYJ,76,67,4
14,4,2020_04_DEN_NYJ,76,67,4
15,4,2020_04_DEN_NYJ,76,67,4
16,3.61382564,2020_04_DEN_NYJ,76,67,4
17,4,2020_04_DEN_NYJ,76,67,4
18,4,2020_04_DEN_NYJ,76,67,4
19,4,2020_04_DEN_NYJ,76,67,4
20,4,2020_04_DEN_NYJ,76,67,4
21,3.988546353,2020_04_DEN_NYJ,76,67,4
22,4,2020_04_DEN_NYJ,76,67,4
23,4,2020_04_DEN_NYJ,76,67,4
24,4,2020_04_DEN_NYJ,76,67,4
25,4,2020_04_DEN_NYJ,76,67,4
26,1.53162751,2020_04_DEN_NYJ,76,67,4
27,3.842126529,2020_04_DEN_NYJ,76,67,4
28,4,2020_04_DEN_NYJ,76,67,4
29,4,2020_04_DEN_NYJ,76,67,4
30,4,2020_04_DEN_NYJ,76,67,4
1,3.896237608,2020_04_DEN_NYJ,76,68,5
2,4,2020_04_DEN_NYJ,76,68,5
3,4,2020_04_DEN_NYJ,76,68,5
4,4,2020_04_DEN_NYJ,76,68,5
5,4,2020_04_DEN_NYJ,76,68,5
6,3.399832259,2020_04_DEN_NYJ,76,68,5
7,4,2020_04_DEN_NYJ,76,68,5
8,4,2020_04_DEN_NYJ,76,68,5
9,4,2020_04_DEN_NYJ,76,68,5
10,4,2020_04_DEN_NYJ,76,68,5
11,3.53767609,2020_04_DEN_NYJ,76,68,5
12,4,2020_04_DEN_NYJ,76,68,5
13,4,2020_04_DEN_NYJ,76,68,5
14,4,2020_04_DEN_NYJ,76,68,5
15,4,2020_04_DEN_NYJ,76,68,5
16,3.559432478,2020_04_DEN_NYJ,76,68,5
17,4,2020_04_DEN_NYJ,76,68,5
18,4,2020_04_DEN_NYJ,76,68,5
19,4,2020_04_DEN_NYJ,76,68,5
20,4,2020_04_DEN_NYJ,76,68,5
21,3.976325618,2020_04_DEN_NYJ,76,68,5
22,4,2020_04_DEN_NYJ,76,68,5
23,4,2020_04_DEN_NYJ,76,68,5
24,4,2020_04_DEN_NYJ,76,68,5
25,4,2020_04_DEN_NYJ,76,68,5
26,1.182370816,2020_04_DEN_NYJ,76,68,5
27,3.725495765,2020_04_DEN_NYJ,76,68,5
28,4,2020_04_DEN_NYJ,76,68,5
29,4,2020_04_DEN_NYJ,76,68,5
30,4,2020_04_DEN_NYJ,76,68,5
1,3.842469616,2020_04_DEN_NYJ,76,69,6
2,4,2020_04_DEN_NYJ,76,69,6
3,4,2020_04_DEN_NYJ,76,69,6
4,4,2020_04_DEN_NYJ,76,69,6
5,4,2020_04_DEN_NYJ,76,69,6
6,3.151747073,2020_04_DEN_NYJ,76,69,6
7,4,2020_04_DEN_NYJ,76,69,6
8,4,2020_04_DEN_NYJ,76,69,6
9,4,2020_04_DEN_NYJ,76,69,6
10,4,2020_04_DEN_NYJ,76,69,6
11,3.246149596,2020_04_DEN_NYJ,76,69,6
12,4,2020_04_DEN_NYJ,76,69,6
13,4,2020_04_DEN_NYJ,76,69,6
14,4,2020_04_DEN_NYJ,76,69,6
15,4,2020_04_DEN_NYJ,76,69,6
16,3.573786555,2020_04_DEN_NYJ,76,69,6
17,4,2020_04_DEN_NYJ,76,69,6
18,4,2020_04_DEN_NYJ,76,69,6
19,4,2020_04_DEN_NYJ,76,69,6
20,4,2020_04_DEN_NYJ,76,69,6
21,3.891489057,2020_04_DEN_NYJ,76,69,6
22,4,2020_04_DEN_NYJ,76,69,6
23,4,2020_04_DEN_NYJ,76,69,6
24,4,2020_04_DEN_NYJ,76,69,6
25,4,2020_04_DEN_NYJ,76,69,6
26,0.870518602,2020_04_DEN_NYJ,76,69,6
27,3.575892201,2020_04_DEN_NYJ,76,69,6
28,4,2020_04_DEN_NYJ,76,69,6
29,4,2020_04_DEN_NYJ,76,69,6
30,4,2020_04_DEN_NYJ,76,69,6
1,3.62141192,2020_04_DEN_NYJ,76,70,7
2,4,2020_04_DEN_NYJ,76,70,7
3,4,2020_04_DEN_NYJ,76,70,7
4,4,2020_04_DEN_NYJ,76,70,7
5,4,2020_04_DEN_NYJ,76,70,7
6,2.941011724,2020_04_DEN_NYJ,76,70,7
7,4,2020_04_DEN_NYJ,76,70,7
8,4,2020_04_DEN_NYJ,76,70,7
9,4,2020_04_DEN_NYJ,76,70,7
10,4,2020_04_DEN_NYJ,76,70,7
11,2.926511565,2020_04_DEN_NYJ,76,70,7
12,4,2020_04_DEN_NYJ,76,70,7
13,4,2020_04_DEN_NYJ,76,70,7
14,4,2020_04_DEN_NYJ,76,70,7
15,4,2020_04_DEN_NYJ,76,70,7
16,3.640612104,2020_04_DEN_NYJ,76,70,7
17,4,2020_04_DEN_NYJ,76,70,7
18,4,2020_04_DEN_NYJ,76,70,7
19,4,2020_04_DEN_NYJ,76,70,7
20,4,2020_04_DEN_NYJ,76,70,7
21,3.735586252,2020_04_DEN_NYJ,76,70,7
22,4,2020_04_DEN_NYJ,76,70,7
23,4,2020_04_DEN_NYJ,76,70,7
24,4,2020_04_DEN_NYJ,76,70,7
25,4,2020_04_DEN_NYJ,76,70,7
26,0.600797965,2020_04_DEN_NYJ,76,70,7
27,3.394235188,2020_04_DEN_NYJ,76,70,7
28,4,2020_04_DEN_NYJ,76,70,7
29,4,2020_04_DEN_NYJ,76,70,7
30,4,2020_04_DEN_NYJ,76,70,7
1,3.240255095,2020_04_DEN_NYJ,76,71,8
2,4,2020_04_DEN_NYJ,76,71,8
3,4,2020_04_DEN_NYJ,76,71,8
4,4,2020_04_DEN_NYJ,76,71,8
5,4,2020_04_DEN_NYJ,76,71,8
6,2.762151809,2020_04_DEN_NYJ,76,71,8
7,4,2020_04_DEN_NYJ,76,71,8
8,4,2020_04_DEN_NYJ,76,71,8
9,4,2020_04_DEN_NYJ,76,71,8
10,4,2020_04_DEN_NYJ,76,71,8
11,2.572395073,2020_04_DEN_NYJ,76,71,8
12,4,2020_04_DEN_NYJ,76,71,8
13,4,2020_04_DEN_NYJ,76,71,8
14,4,2020_04_DEN_NYJ,76,71,8
15,4,2020_04_DEN_NYJ,76,71,8
16,3.755920093,2020_04_DEN_NYJ,76,71,8
17,4,2020_04_DEN_NYJ,76,71,8
18,4,2020_04_DEN_NYJ,76,71,8
19,4,2020_04_DEN_NYJ,76,71,8
20,4,2020_04_DEN_NYJ,76,71,8
21,3.299234352,2020_04_DEN_NYJ,76,71,8
22,4,2020_04_DEN_NYJ,76,71,8
23,4,2020_04_DEN_NYJ,76,71,8
24,4,2020_04_DEN_NYJ,76,71,8
25,4,2020_04_DEN_NYJ,76,71,8
26,0.368662859,2020_04_DEN_NYJ,76,71,8
27,3.172656537,2020_04_DEN_NYJ,76,71,8
28,4,2020_04_DEN_NYJ,76,71,8
29,4,2020_04_DEN_NYJ,76,71,8
30,4,2020_04_DEN_NYJ,76,71,8
1,2.84617705,2020_04_DEN_NYJ,76,72,9
2,4,2020_04_DEN_NYJ,76,72,9
3,4,2020_04_DEN_NYJ,76,72,9
4,4,2020_04_DEN_NYJ,76,72,9
5,4,2020_04_DEN_NYJ,76,72,9
6,2.620689755,2020_04_DEN_NYJ,76,72,9
7,4,2020_04_DEN_NYJ,76,72,9
8,4,2020_04_DEN_NYJ,76,72,9
9,4,2020_04_DEN_NYJ,76,72,9
10,4,2020_04_DEN_NYJ,76,72,9
11,2.210465925,2020_04_DEN_NYJ,76,72,9
12,4,2020_04_DEN_NYJ,76,72,9
13,4,2020_04_DEN_NYJ,76,72,9
14,4,2020_04_DEN_NYJ,76,72,9
15,4,2020_04_DEN_NYJ,76,72,9
16,3.869794078,2020_04_DEN_NYJ,76,72,9
17,4,2020_04_DEN_NYJ,76,72,9
18,4,2020_04_DEN_NYJ,76,72,9
19,4,2020_04_DEN_NYJ,76,72,9
20,4,2020_04_DEN_NYJ,76,72,9
21,2.7171907,2020_04_DEN_NYJ,76,72,9
22,4,2020_04_DEN_NYJ,76,72,9
23,4,2020_04_DEN_NYJ,76,72,9
24,4,2020_04_DEN_NYJ,76,72,9
25,4,2020_04_DEN_NYJ,76,72,9
26,0.186385319,2020_04_DEN_NYJ,76,72,9
27,2.913992338,2020_04_DEN_NYJ,76,72,9
28,4,2020_04_DEN_NYJ,76,72,9
29,4,2020_04_DEN_NYJ,76,72,9
30,4,2020_04_DEN_NYJ,76,72,9
1,2.48192753,2020_04_DEN_NYJ,76,73,10
2,4,2020_04_DEN_NYJ,76,73,10
3,4,2020_04_DEN_NYJ,76,73,10
4,4,2020_04_DEN_NYJ,76,73,10
5,4,2020_04_DEN_NYJ,76,73,10
6,2.470617453,2020_04_DEN_NYJ,76,73,10
7,4,2020_04_DEN_NYJ,76,73,10
8,4,2020_04_DEN_NYJ,76,73,10
9,4,2020_04_DEN_NYJ,76,73,10
10,4,2020_04_DEN_NYJ,76,73,10
11,1.949185936,2020_04_DEN_NYJ,76,73,10
12,4,2020_04_DEN_NYJ,76,73,10
13,4,2020_04_DEN_NYJ,76,73,10
14,4,2020_04_DEN_NYJ,76,73,10
15,4,2020_04_DEN_NYJ,76,73,10
16,3.842057025,2020_04_DEN_NYJ,76,73,10
17,4,2020_04_DEN_NYJ,76,73,10
18,4,2020_04_DEN_NYJ,76,73,10
19,4,2020_04_DEN_NYJ,76,73,10
20,4,2020_04_DEN_NYJ,76,73,10
21,2.099108855,2020_04_DEN_NYJ,76,73,10
22,4,2020_04_DEN_NYJ,76,73,10
23,4,2020_04_DEN_NYJ,76,73,10
24,4,2020_04_DEN_NYJ,76,73,10
25,4,2020_04_DEN_NYJ,76,73,10
26,0.059279709,2020_04_DEN_NYJ,76,73,10
27,2.610420502,2020_04_DEN_NYJ,76,73,10
28,4,2020_04_DEN_NYJ,76,73,10
29,4,2020_04_DEN_NYJ,76,73,10
30,4,2020_04_DEN_NYJ,76,73,10
1,2.0967152,2020_04_DEN_NYJ,76,74,11
2,4,2020_04_DEN_NYJ,76,74,11
3,4,2020_04_DEN_NYJ,76,74,11
4,4,2020_04_DEN_NYJ,76,74,11
5,4,2020_04_DEN_NYJ,76,74,11
6,2.254242025,2020_04_DEN_NYJ,76,74,11
7,4,2020_04_DEN_NYJ,76,74,11
8,4,2020_04_DEN_NYJ,76,74,11
9,4,2020_04_DEN_NYJ,76,74,11
10,4,2020_04_DEN_NYJ,76,74,11
11,1.840223674,2020_04_DEN_NYJ,76,74,11
12,4,2020_04_DEN_NYJ,76,74,11
13,4,2020_04_DEN_NYJ,76,74,11
14,4,2020_04_DEN_NYJ,76,74,11
15,4,2020_04_DEN_NYJ,76,74,11
16,3.542234963,2020_04_DEN_NYJ,76,74,11
17,4,2020_04_DEN_NYJ,76,74,11
18,4,2020_04_DEN_NYJ,76,74,11
19,4,2020_04_DEN_NYJ,76,74,11
20,4,2020_04_DEN_NYJ,76,74,11
21,1.291963614,2020_04_DEN_NYJ,76,74,11
22,3.999436342,2020_04_DEN_NYJ,76,74,11
23,4,2020_04_DEN_NYJ,76,74,11
24,4,2020_04_DEN_NYJ,76,74,11
25,4,2020_04_DEN_NYJ,76,74,11
26,0,2020_04_DEN_NYJ,76,74,11
27,2.1227407,2020_04_DEN_NYJ,76,74,11
28,4,2020_04_DEN_NYJ,76,74,11
29,4,2020_04_DEN_NYJ,76,74,11
