"predicted_x","predicted_y","frame_index"
NA,-5,1
NA,-4.9,1
NA,-4.8,1
NA,-4.7,1
NA,-4.6,1
NA,-4.5,1
NA,-4.4,1
NA,-4.3,1
NA,-4.2,1
NA,-4.1,1
NA,-4,1
NA,-3.9,1
NA,-3.8,1
NA,-3.7,1
NA,-3.6,1
NA,-3.5,1
NA,-3.4,1
-1.19272430361624,-3.3,1
-1.18821047975389,-3.2,1
-1.18292288049437,-3.1,1
-1.1767751590257,-3,1
-1.16968096853588,-2.9,1
-1.16155396221292,-2.8,1
-1.15230779324483,-2.7,1
-1.14185611481963,-2.6,1
-1.13011258012532,-2.5,1
-1.11699084234992,-2.4,1
-1.10240455468144,-2.3,1
-1.08626737030789,-2.2,1
-1.06833718382698,-2.1,1
-1.04865544324667,-2,1
-1.02756113187029,-1.9,1
-1.00539323300119,-1.8,1
-0.982490729942706,-1.7,1
-0.959192605998184,-1.6,1
-0.935837844470964,-1.5,1
-0.912765428664387,-1.4,1
-0.886828703179961,-1.3,1
-0.8557840935538,-1.2,1
-0.821325204491164,-1.1,1
-0.78514564069731,-1,1
-0.748939006877496,-0.9,1
-0.714398907736981,-0.8,1
-0.683218947981021,-0.7,1
-0.657092732314876,-0.6,1
-0.63191819908053,-0.5,1
-0.603962319452982,-0.4,1
-0.575472247387007,-0.3,1
-0.548695136837381,-0.2,1
-0.52587814175888,-0.1,1
-0.509268416106281,0,1
-0.501113113834359,0.1,1
-0.502604490104611,0.2,1
-0.512231123782204,0.3,1
-0.528184654377418,0.4,1
-0.548656721400536,0.5,1
-0.571838964361837,0.6,1
-0.595923022771602,0.7,1
-0.619100536140113,0.8,1
-0.63956314397765,0.9,1
-0.66125263010522,1,1
-0.688036131346107,1.1,1
-0.717993316714009,1.2,1
-0.749203855222627,1.3,1
-0.779747415885658,1.4,1
-0.8077036677168,1.5,1
-0.831152279729754,1.6,1
-0.852254379404232,1.7,1
-0.874111084606693,1.8,1
-0.896212049930953,1.9,1
-0.918046929970827,2,1
-0.93910537932013,2.1,1
-0.958877052572679,2.2,1
-0.976851604322288,2.3,1
-0.993188985683953,2.4,1
-1.00840320120873,2.5,1
-1.02251498564454,2.6,1
-1.03554507373928,2.7,1
-1.04751420024087,2.8,1
-1.05844309989722,2.9,1
-1.06835250745624,3,1
-1.07726315766583,3.1,1
-1.08519578527392,3.2,1
-1.09217112502842,3.3,1
-1.09820991167722,3.4,1
-1.10333287996826,3.5,1
-1.10756076464942,3.6,1
-1.11091430046864,3.7,1
-1.11341422217381,3.8,1
-1.11508126451285,3.9,1
-1.11593616223367,4,1
-1.11599965008418,4.1,1
-1.1152924628123,4.2,1
-1.11383533516592,4.3,1
-1.11164900189298,4.4,1
-1.10875419774136,4.5,1
-1.10517165745899,4.6,1
NA,4.7,1
NA,4.8,1
NA,4.9,1
NA,5,1
NA,-5,2
NA,-4.9,2
NA,-4.8,2
NA,-4.7,2
NA,-4.6,2
NA,-4.5,2
NA,-4.4,2
NA,-4.3,2
NA,-4.2,2
NA,-4.1,2
NA,-4,2
NA,-3.9,2
NA,-3.8,2
NA,-3.7,2
NA,-3.6,2
NA,-3.5,2
NA,-3.4,2
-1.20206594492709,-3.3,2
-1.19694213586263,-3.2,2
-1.19108678763477,-3.1,2
-1.18441585742023,-3,2
-1.17684530239574,-2.9,2
-1.16829107973804,-2.8,2
-1.15866914662386,-2.7,2
-1.14789546022992,-2.6,2
-1.13588597773298,-2.5,2
-1.12255665630974,-2.4,2
-1.10782345313696,-2.3,2
-1.09160232539135,-2.2,2
-1.07366076963717,-2.1,2
-1.0540407871156,-2,2
-1.03307009201884,-1.9,2
-1.01107639853906,-1.8,2
-0.988387420868436,-1.7,2
-0.965330873199145,-1.6,2
-0.942234469723366,-1.5,2
-0.919425924633277,-1.4,2
-0.893867307192763,-1.3,2
-0.863392313399021,-1.2,2
-0.829636097544185,-1.1,2
-0.794233813920395,-1,2
-0.758820616819787,-0.9,2
-0.725031660534498,-0.8,2
-0.694502099356665,-0.7,2
-0.668867087578426,-0.6,2
-0.644186362067083,-0.5,2
-0.616871802446038,-0.4,2
-0.589086777141577,-0.3,2
-0.562994654579987,-0.2,2
-0.540758803187554,-0.1,2
-0.524542591390565,0,2
-0.516509387615305,0.1,2
-0.517832580967496,0.2,2
-0.526944539349802,0.3,2
-0.541897099383919,0.4,2
-0.560742097691547,0.5,2
-0.581531370894383,0.6,2
-0.602316755614126,0.7,2
-0.621150088472473,0.8,2
-0.641436004462742,0.9,2
-0.666832453606324,1,2
-0.695771245067031,1.1,2
-0.726684188008671,1.2,2
-0.758003091595056,1.3,2
-0.788159764989996,1.4,2
-0.815586017357299,1.5,2
-0.838713657860778,1.6,2
-0.859595258161565,1.7,2
-0.881077568603019,1.8,2
-0.902783666372288,1.9,2
-0.924336628656518,2,2
-0.945359532642858,2.1,2
-0.965475455518454,2.2,2
-0.984307474470454,2.3,2
-1.001478666686,2.4,2
-1.01707941301161,2.5,2
-1.03146996422265,2.6,2
-1.04467820239961,2.7,2
-1.05673200962294,2.8,2
-1.06765926797313,2.9,2
-1.07748785953063,3,2
-1.08624566637593,3.1,2
-1.0939605705895,3.2,2
-1.10066045425179,3.3,2
-1.10637319944329,3.4,2
-1.11112668824446,3.5,2
-1.11494880273578,3.6,2
-1.11786742499771,3.7,2
-1.11991043711072,3.8,2
-1.1211057211553,3.9,2
-1.1214811592119,4,2
-1.12106463336099,4.1,2
-1.11988402568306,4.2,2
-1.11796721825856,4.3,2
-1.11534209316797,4.4,2
-1.11203653249176,4.5,2
-1.1080784183104,4.6,2
NA,4.7,2
NA,4.8,2
NA,4.9,2
NA,5,2
NA,-5,3
NA,-4.9,3
NA,-4.8,3
NA,-4.7,3
NA,-4.6,3
NA,-4.5,3
NA,-4.4,3
NA,-4.3,3
NA,-4.2,3
NA,-4.1,3
NA,-4,3
NA,-3.9,3
NA,-3.8,3
NA,-3.7,3
NA,-3.6,3
NA,-3.5,3
NA,-3.4,3
-1.21771963773749,-3.3,3
-1.21203427518581,-3.2,3
-1.2056484681717,-3.1,3
-1.198478217707,-3,3
-1.19043952480358,-2.9,3
-1.18144839047329,-2.8,3
-1.17142081572797,-2.7,3
-1.1602728015795,-2.6,3
-1.14792034903971,-2.5,3
-1.13427945912047,-2.4,3
-1.11926613283362,-2.3,3
-1.10279637119102,-2.2,3
-1.08464427413908,-2.1,3
-1.06485554566678,-2,3
-1.0437535928499,-1.9,3
-1.02166182276418,-1.8,3
-0.998903642485388,-1.7,3
-0.975802459089277,-1.6,3
-0.952681679651608,-1.5,3
-0.929864711248136,-1.4,3
-0.904356863236241,-1.3,3
-0.874022538770935,-1.2,3
-0.840473785624434,-1.1,3
-0.805322651568948,-1,3
-0.77018118437669,-0.9,3
-0.736661431819874,-0.8,3
-0.706375441670711,-0.7,3
-0.680935261701414,-0.6,3
-0.656535130421973,-0.5,3
-0.629681855782314,-0.4,3
-0.602456339714562,-0.3,3
-0.576939484150838,-0.2,3
-0.555212191023267,-0.1,3
-0.53935536226397,0,3
-0.531449899805072,0.1,3
-0.53256510524472,0.2,3
-0.541303730520249,0.3,3
-0.55604685307256,0.4,3
-0.575175550342554,0.5,3
-0.597070899771134,0.6,3
-0.620113978799202,0.7,3
-0.642685864867658,0.8,3
-0.663167635417405,0.9,3
-0.684828087442818,1,3
-0.710900887344004,1.1,3
-0.739714416670466,1.2,3
-0.769597056971706,1.3,3
-0.798877189797228,1.4,3
-0.825883196696532,1.5,3
-0.848943459219122,1.6,3
-0.869926005742819,1.7,3
-0.891557144355903,1.8,3
-0.913452676173566,1.9,3
-0.935228402310997,2,3
-0.956500123883387,2.1,3
-0.976883642005928,2.2,3
