"predicted_x","predicted_y","frame_index"
NA,-5,1
NA,-4.5,1
NA,-4,1
NA,-3.5,1
-1.28572759366149,-3,1
-1.07207189647534,-2.5,1
-0.892923991523523,-2,1
-0.749905491345424,-1.5,1
-0.642738324977248,-1,1
-0.572104793340492,-0.5,1
-0.535295044070433,0,1
-0.537045547447026,0.5,1
-0.577263777606104,1,1
-0.663272811989426,1.5,1
-0.77530321125258,2,1
-0.909681353885323,2.5,1
-1.06633847098218,3,1
-1.24708192171619,3.5,1
-1.45371906526038,4,1
-1.6880572607878,4.5,1
NA,5,1
NA,-5,2
NA,-4.5,2
NA,-4,2
NA,-3.5,2
-1.28522981266501,-3,2
-1.07532215324423,-2.5,2
-0.899262640425382,-2,2
-0.758704282494755,-1.5,2
-0.653335829684638,-1,2
-0.583894004335006,-0.5,2
-0.547617772161706,0,2
-0.549265487908403,0.5,2
-0.588874880157763,1,2
-0.674129826241504,1.5,2
-0.784827409367477,2,2
-0.91722436525829,2.5,2
-1.07130611749622,3,2
-1.24888724927028,3.5,2
-1.45178234376948,4,2
-1.68180598418284,4.5,2
NA,5,2
NA,-5,3
NA,-4.5,3
NA,-4,3
NA,-3.5,3
-1.28890235774679,-3,3
-1.08275062631915,-2.5,3
-0.909745852089078,-2,3
-0.771577952882739,-1.5,3
-0.667887406948798,-1,3
-0.599487083852953,-0.5,3
-0.563558380645454,0,3
-0.564893381560282,0.5,3
-0.60368830075695,1,3
-0.687907878188899,1.5,3
-0.797173932598969,2,3
-0.927841061756876,2.5,3
-1.07988737897027,3,3
-1.25511674759731,3.5,3
-1.45533303099611,4,3
-1.68234009252484,4.5,3
NA,5,3
NA,-5,4
NA,-4.5,4
NA,-4,4
NA,-3.5,4
-1.30388939382297,-3,4
-1.10054544980693,-2.5,4
-0.929850017324332,-2,4
-0.793510159504249,-1.5,4
-0.691085200048797,-1,4
-0.623501611628358,-0.5,4
-0.587987213796387,0,4
-0.58927353957019,0.5,4
-0.627680097320269,1,4
-0.711336698957785,1.5,4
-0.819765092848921,2,4
