"predicted_x","predicted_y","frame_index"
NA,-5,1
NA,-4.9,1
NA,-4.8,1
NA,-4.7,1
NA,-4.6,1
NA,-4.5,1
NA,-4.4,1
NA,-4.3,1
NA,-4.2,1
NA,-4.1,1
NA,-4,1
NA,-3.9,1
NA,-3.8,1
NA,-3.7,1
NA,-3.6,1
NA,-3.5,1
NA,-3.4,1
NA,-3.3,1
NA,-3.2,1
NA,-3.1,1
NA,-3,1
NA,-2.9,1
NA,-2.8,1
NA,-2.7,1
-1.13527276394852,-2.6,1
-1.13162908889303,-2.5,1
-1.12827990362015,-2.4,1
-1.1250009506601,-2.3,1
-1.12156797254313,-2.2,1
-1.11775671179949,-2.1,1
-1.11334291095941,-2,1
-1.10810231255313,-1.9,1
-1.1018106591109,-1.8,1
-1.09424369316297,-1.7,1
-1.08517715723956,-1.6,1
-1.07438679387092,-1.5,1
-1.0616483455873,-1.4,1
-1.04673755491893,-1.3,1
-1.02943016439606,-1.2,1
-1.00909596123047,-1.1,1
-0.982007165085939,-1,1
-0.948214608450268,-0.9,1
-0.90884611105615,-0.8,1
-0.865029492636281,-0.7,1
-0.817892572923355,-0.6,1
-0.76856317165007,-0.5,1
-0.718169108549119,-0.4,1
-0.6678382033532,-0.3,1
-0.618698275795007,-0.2,1
-0.571877145607236,-0.1,1
-0.528502632522584,0,1
-0.489702556273744,0.1,1
-0.456604736593414,0.2,1
-0.430336993214288,0.3,1
-0.413746803248381,0.4,1
-0.41116540481611,0.5,1
-0.421139831529177,0.6,1
-0.441925162953248,0.7,1
-0.471776478653988,0.8,1
-0.508948858197061,0.9,1
-0.551697381148131,1,1
-0.598277127072865,1.1,1
-0.646943175536926,1.2,1
-0.695950606105979,1.3,1
-0.743554498345689,1.4,1
-0.788009931821721,1.5,1
-0.827571986099739,1.6,1
-0.860495740745409,1.7,1
-0.885036275324394,1.8,1
-0.89944866940236,1.9,1
-0.907958030146099,2,1
-0.918901412101427,2.1,1
-0.932010118334683,2.2,1
-0.946911780096439,2.3,1
-0.963234028637265,2.4,1
-0.980604495207733,2.5,1
-0.998650811058415,2.6,1
-1.01700060743988,2.7,1
-1.0352815156027,2.8,1
-1.05312116679745,2.9,1
-1.0701471922747,3,1
-1.08598722328501,3.1,1
-1.10026889107897,3.2,1
-1.11261982690714,3.3,1
-1.12266766202009,3.4,1
NA,3.5,1
NA,3.6,1
NA,3.7,1
NA,3.8,1
NA,3.9,1
NA,4,1
NA,4.1,1
NA,4.2,1
NA,4.3,1
NA,4.4,1
NA,4.5,1
NA,4.6,1
NA,4.7,1
NA,4.8,1
NA,4.9,1
NA,5,1
NA,-5,2
NA,-4.9,2
NA,-4.8,2
NA,-4.7,2
NA,-4.6,2
NA,-4.5,2
NA,-4.4,2
NA,-4.3,2
NA,-4.2,2
NA,-4.1,2
NA,-4,2
NA,-3.9,2
NA,-3.8,2
NA,-3.7,2
NA,-3.6,2
NA,-3.5,2
NA,-3.4,2
NA,-3.3,2
NA,-3.2,2
NA,-3.1,2
NA,-3,2
NA,-2.9,2
NA,-2.8,2
NA,-2.7,2
-1.13858947998769,-2.6,2
-1.13505146625,-2.5,2
-1.13180456811883,-2.4,2
-1.12862710896958,-2.3,2
-1.12529741217761,-2.2,2
-1.1215938011183,-2.1,2
-1.11729459916704,-2,2
-1.11217812969919,-1.9,2
-1.10602271609014,-1.8,2
-1.09860668171527,-1.7,2
-1.08970834994995,-1.6,2
-1.07910604416955,-1.5,2
-1.06657808774947,-1.4,2
-1.05190280406507,-1.3,2
-1.03485851649173,-1.2,2
-1.0147670765716,-1.1,2
-0.98800137182141,-1,2
-0.954713517778617,-0.9,2
-0.916000042569075,-0.8,2
-0.872957474318643,-0.7,2
-0.826682341153179,-0.6,2
-0.778271171198543,-0.5,2
-0.728820492580592,-0.4,2
-0.679426833425187,-0.3,2
-0.631186721858184,-0.2,2
-0.585196686005444,-0.1,2
-0.542553253992824,0,2
-0.504352953946184,0.1,2
-0.471692313991382,0.2,2
-0.445667862254277,0.3,2
-0.428909427457697,0.4,2
-0.425879768924124,0.5,2
-0.435240127577842,0.6,2
-0.455277732879457,0.7,2
-0.484279814289577,0.8,2
-0.520533601268811,0.9,2
-0.562326323277764,1,2
-0.607945209777045,1.1,2
-0.655677490227262,1.2,2
-0.703810394089021,1.3,2
-0.750631150822931,1.4,2
-0.794426989889597,1.5,2
-0.83348514074963,1.6,2
-0.866092832863634,1.7,2
-0.890537295692219,1.8,2
-0.905105758695991,1.9,2
-0.913782077991224,2,2
-0.924923069691496,2.1,2
-0.938278128558519,2.2,2
-0.953468781572335,2.3,2
-0.970116555712987,2.4,2
-0.987842977960517,2.5,2
-1.00626957529497,2.6,2
-1.02501787469638,2.7,2
-1.04370940314481,2.8,2
-1.06196568762028,2.9,2
-1.07940825510284,3,2
-1.09565863257254,3.1,2
-1.11033834700941,3.2,2
-1.1230689253935,3.3,2
-1.13347189470486,3.4,2
NA,3.5,2
NA,3.6,2
NA,3.7,2
NA,3.8,2
NA,3.9,2
NA,4,2
NA,4.1,2
NA,4.2,2
NA,4.3,2
NA,4.4,2
NA,4.5,2
NA,4.6,2
NA,4.7,2
NA,4.8,2
NA,4.9,2
NA,5,2
NA,-5,3
NA,-4.9,3
NA,-4.8,3
NA,-4.7,3
NA,-4.6,3
NA,-4.5,3
NA,-4.4,3
NA,-4.3,3
NA,-4.2,3
NA,-4.1,3
NA,-4,3
NA,-3.9,3
NA,-3.8,3
NA,-3.7,3
NA,-3.6,3
NA,-3.5,3
NA,-3.4,3
NA,-3.3,3
NA,-3.2,3
NA,-3.1,3
NA,-3,3
NA,-2.9,3
NA,-2.8,3
NA,-2.7,3
-1.14622857090891,-2.6,3
-1.14279430575324,-2.5,3
-1.13964189170907,-2.4,3
-1.13655184964941,-2.3,3
-1.13330470044729,-2.2,3
-1.1296809649757,-2.1,3
-1.12546116410768,-2,3
-1.12042581871622,-1.9,3
-1.11435544967435,-1.8,3
-1.10703057785507,-1.7,3
-1.09823172413141,-1.6,3
-1.08773940937637,-1.5,3
-1.07533415446297,-1.4,3
-1.06079648026423,-1.3,3
-1.04390690765315,-1.2,3
-1.02385927700031,-1.1,3
-0.997151080259306,-1,3
-0.964125819118573,-0.9,3
-0.92585092588628,-0.8,3
-0.883393832870592,-0.7,3
-0.837821972379674,-0.6,3
-0.790202776721695,-0.5,3
-0.741603678204819,-0.4,3
-0.693092109137212,-0.3,3
-0.645735501827041,-0.2,3
-0.600601288582473,-0.1,3
-0.558756901711672,0,3
-0.521269773522805,0.1,3
-0.489207336324038,0.2,3
-0.463637022423537,0.3,3
-0.447092088076975,0.4,3
-0.443906827647175,0.5,3
-0.452792845325376,0.6,3
-0.472090593310663,0.7,3
-0.500140523802121,0.8,3
-0.535283088998834,0.9,3
-0.575858741099886,1,3
-0.620207932304363,1.1,3
-0.666671114811348,1.2,3
-0.713588740819926,1.3,3
-0.759301262529181,1.4,3
-0.802149132138197,1.5,3
-0.84047280184606,1.6,3
-0.872612723851853,1.7,3
-0.896909350354661,1.8,3
-0.911703133553569,1.9,3
-0.920678249297254,2,3
-0.932181322798014,2.1,3
-0.945983700058817,2.2,3
-0.961695073193049,2.3,3
-0.978925134314096,2.4,3
-0.997283575535344,2.5,3
-1.01638008897018,2.6,3
-1.03582436673199,2.7,3
-1.05522610093415,2.8,3
-1.07419498369007,2.9,3
-1.09234070711311,3,3
-1.10927296331667,3.1,3
-1.12460144441413,3.2,3
-1.13793584251889,3.3,3
-1.14888584974431,3.4,3
NA,3.5,3
NA,3.6,3
NA,3.7,3
NA,3.8,3
NA,3.9,3
NA,4,3
NA,4.1,3
NA,4.2,3
NA,4.3,3
NA,4.4,3
