"predicted_x","predicted_y","frame_index"
NA,-8,1
NA,-7.9,1
NA,-7.8,1
NA,-7.7,1
NA,-7.6,1
2.41076284649946,-7.5,1
2.14553546263173,-7.4,1
1.88547524556148,-7.3,1
1.63056823426105,-7.2,1
1.38080046770278,-7.1,1
1.136157984859,-7,1
0.896626824702045,-6.9,1
0.662193026204246,-6.8,1
0.432842628337943,-6.7,1
0.208561670075465,-6.6,1
-0.0106638096108489,-6.5,1
-0.224847771748665,-6.4,1
-0.434004177365653,-6.3,1
-0.638146987489474,-6.2,1
-0.837290163147796,-6.1,1
-1.03144766536828,-6,1
-1.2206334551786,-5.9,1
-1.40486149360642,-5.8,1
-1.58414574167939,-5.7,1
-1.7585001604252,-5.6,1
-1.92793871087149,-5.5,1
-2.09247535404595,-5.4,1
-2.25212405097623,-5.3,1
-2.40689876269001,-5.2,1
-2.55681345021493,-5.1,1
-2.70188207457868,-5,1
-2.84211859680891,-4.9,1
-2.9775369779333,-4.8,1
-3.10815117897951,-4.7,1
-3.23397516097519,-4.6,1
-3.35502288494803,-4.5,1
-3.47130831192568,-4.4,1
-3.58284540293581,-4.3,1
-3.68964811900609,-4.2,1
-3.79173042116418,-4.1,1
-3.88910627043774,-4,1
-3.98178962785444,-3.9,1
-4.06979445444196,-3.8,1
-4.15313471122794,-3.7,1
-4.23182435924007,-3.6,1
-4.305877359506,-3.5,1
-4.3753076730534,-3.4,1
-4.44012926090994,-3.3,1
-4.50035608410327,-3.2,1
-4.55600210366107,-3.1,1
-4.60708128061101,-3,1
-4.65360757598074,-2.9,1
-4.69559495079793,-2.8,1
-4.73305736609026,-2.7,1
-4.76600878288538,-2.6,1
-4.79446316221095,-2.5,1
-4.81843446509466,-2.4,1
-4.8360413104186,-2.3,1
-4.84545700852609,-2.2,1
-4.84677755763657,-2.1,1
-4.84009895596948,-2,1
-4.82551720174426,-1.9,1
-4.80312829318036,-1.8,1
-4.77302822849721,-1.7,1
-4.73531300591427,-1.6,1
-4.69007862365096,-1.5,1
-4.63742107992675,-1.4,1
-4.57743637296106,-1.3,1
-4.51022050097334,-1.2,1
-4.43586946218304,-1.1,1
-4.3544792548096,-1,1
-4.26614587707245,-0.9,1
-4.17096532719105,-0.8,1
-4.04523235649,-0.7,1
-3.87146350098104,-0.6,1
-3.65908743591429,-0.5,1
-3.41753283653986,-0.4,1
-3.15622837810789,-0.3,1
-2.88460273586849,-0.2,1
-2.61208458507177,-0.1,1
-2.34810260096786,0,1
-2.10208545880688,0.1,1
-1.88346183383895,0.2,1
-1.70166040131419,0.3,1
-1.55404193892404,0.4,1
-1.42960517865746,0.5,1
-1.3252357272108,0.6,1
-1.23781919128043,0.7,1
-1.16424117756269,0.8,1
-1.10138729275396,0.9,1
-1.04614314355059,1,1
-0.995394336648935,1.1,1
-0.946026478745364,1.2,1
-0.894925176536234,1.3,1
-0.838976036717905,1.4,1
-0.784581091220343,1.5,1
-0.739421046647518,1.6,1
-0.702299521706792,1.7,1
-0.672020135105525,1.8,1
-0.64738650555108,1.9,1
-0.627202251750815,2,1
-0.610270992412094,2.1,1
-0.595396346242277,2.2,1
-0.581381931948726,2.3,1
-0.567031368238801,2.4,1
-0.551148273819864,2.5,1
-0.536833892468371,2.6,1
-0.527627877575092,2.7,1
-0.522991462268855,2.8,1
-0.52238587967849,2.9,1
-0.525272362932825,3,1
-0.531112145160692,3.1,1
-0.539366459490917,3.2,1
-0.549496539052332,3.3,1
-0.560963616973764,3.4,1
-0.573228926384044,3.5,1
-0.585753700412001,3.6,1
-0.597999172186463,3.7,1
-0.611365495881274,3.8,1
-0.627505362297845,3.9,1
-0.646258809506359,4,1
-0.667465875576998,4.1,1
-0.690966598579942,4.2,1
-0.716601016585377,4.3,1
-0.744209167663482,4.4,1
-0.773631089884441,4.5,1
-0.804706821318436,4.6,1
-0.837276400035648,4.7,1
-0.871179864106262,4.8,1
-0.906257251600457,4.9,1
-0.942493396560353,5,1
-0.980012216300964,5.1,1
-1.01886237380182,5.2,1
-1.05909253204243,5.3,1
-1.10075135400235,5.4,1
-1.14388750266108,5.5,1
-1.18854964099815,5.6,1
-1.2347864319931,5.7,1
-1.28264653862545,5.8,1
-1.33217862387472,5.9,1
-1.38343135072044,6,1
-1.43645338214213,6.1,1
-1.49129338111933,6.2,1
-1.54800001063156,6.3,1
-1.60662193365834,6.4,1
NA,6.5,1
NA,6.6,1
NA,6.7,1
NA,6.8,1
NA,6.9,1
NA,7,1
NA,7.1,1
NA,7.2,1
NA,7.3,1
NA,7.4,1
NA,7.5,1
NA,7.6,1
NA,7.7,1
NA,7.8,1
NA,7.9,1
NA,8,1
NA,-8,2
NA,-7.9,2
NA,-7.8,2
NA,-7.7,2
NA,-7.6,2
NA,-7.5,2
2.1955352484317,-7.4,2
1.92967095382575,-7.3,2
1.66974335057144,-7.2,2
1.4157263168402,-7.1,2
1.16759373080348,-7,2
0.925319470632737,-6.9,2
0.688877414499399,-6.8,2
0.458241440574919,-6.7,2
0.233385427030737,-6.6,2
0.0142832520383021,-6.5,2
-0.199091206230944,-6.4,2
-0.406764069605559,-6.3,2
-0.608761459914094,-6.2,2
-0.805109498985109,-6.1,2
-0.995834308647157,-6,2
-1.18096201072879,-5.9,2
-1.36051872705857,-5.8,2
-1.53453057946506,-5.7,2
-1.70302368977679,-5.6,2
-1.86602417982234,-5.5,2
-2.02355817143026,-5.4,2
-2.1756517864291,-5.3,2
-2.32233114664741,-5.2,2
-2.46362237391376,-5.1,2
-2.5995515900567,-5,2
-2.73014491690479,-4.9,2
-2.85542847628657,-4.8,2
-2.97542839003062,-4.7,2
-3.09017077996547,-4.6,2
-3.19968176791969,-4.5,2
-3.30398747572184,-4.4,2
-3.40311402520046,-4.3,2
-3.49708753818412,-4.2,2
-3.58593413650137,-4.1,2
-3.66967994198076,-4,2
-3.74835107645086,-3.9,2
-3.82197366174021,-3.8,2
-3.89057381967737,-3.7,2
-3.9541776720909,-3.6,2
-4.01281134080936,-3.5,2
-4.06650094766129,-3.4,2
-4.11527261447526,-3.3,2
-4.15915246307982,-3.2,2
-4.19816661530353,-3.1,2
-4.23234119297494,-3,2
-4.2617023179226,-2.9,2
-4.28627611197508,-2.8,2
-4.30608869696092,-2.7,2
-4.32116619470869,-2.6,2
-4.33153472704694,-2.5,2
-4.33722041580423,-2.4,2
-4.33824938280911,-2.3,2
-4.33464774989013,-2.2,2
-4.32152325287177,-2.1,2
-4.29456534344367,-2,2
-4.25467271723215,-1.9,2
-4.20274406986353,-1.8,2
-4.13967809696411,-1.7,2
-4.06637349416023,-1.6,2
-3.98372895707819,-1.5,2
-3.89264318134432,-1.4,2
-3.79401486258492,-1.3,2
-3.68874269642631,-1.2,2
-3.57772537849482,-1.1,2
-3.46186160441675,-1,2
-3.34205006981842,-0.9,2
-3.21918947032616,-0.8,2
-3.09417850156627,-0.7,2
-2.94599147609005,-0.6,2
-2.75829572465898,-0.5,2
-2.53902947021472,-0.4,2
-2.2961309356989,-0.3,2
-2.03753834405316,-0.2,2
-1.77118991821913,-0.1,2
-1.50502388113846,0,2
-1.24697845575278,0.1,2
-1.00499186500372,0.2,2
-0.78700233183294,0.3,2
-0.600948079182062,0.4,2
-0.454767329992727,0.5,2
-0.355407483849039,0.6,2
-0.299314644137608,0.7,2
-0.278675089503837,0.8,2
-0.285675098593125,0.9,2
-0.312500950050872,1,2
-0.35133892252248,1.1,2
-0.394375294653349,1.2,2
