"predicted_y","frame_index","predicted_x"
-5,1,-1.80957312322705
-4.5,1,-1.72656374322705
-4,1,-1.64547481795518
-3.5,1,-1.56286067422079
-3,1,-1.47817477577208
-2.5,1,-1.39546062224399
-2,1,-1.3112883876725
-1.5,1,-1.23064949079217
-1,1,-1.14786130513951
-0.5,1,-1.07522977867663
0,1,-1.01741929412232
0.5,1,-0.985274276726954
1,1,-0.971344138334446
1.5,1,-0.977857525326703
2,1,-1.00359241412031
2.5,1,-1.05100945479064
3,1,-1.1193441714326
3.5,1,-1.20714139205168
-5,2,-1.81059977750523
-4.5,2,-1.72759039750523
-4,2,-1.64650147223336
-3.5,2,-1.56388732849897
-3,2,-1.47920143005026
-2.5,2,-1.39648727652217
-2,2,-1.31231504195068
-1.5,2,-1.23167614507035
-1,2,-1.14888795941769
-0.5,2,-1.07625643295481
0,2,-1.0184459484005
0.5,2,-0.986300931005135
1,2,-0.972370792612627
1.5,2,-0.978884179604884
2,2,-1.00461906839849
2.5,2,-1.05203610906882
3,2,-1.12037082571078
3.5,2,-1.20816804632986
-5,3,-1.81162643178341
-4.5,3,-1.72861705178341
-4,3,-1.64752812651154
-3.5,3,-1.56491398277715
-3,3,-1.48022808432844
-2.5,3,-1.39751393080035
-2,3,-1.31334169622886
-1.5,3,-1.23270279934853
-1,3,-1.14991461369587
-0.5,3,-1.07728308723299
0,3,-1.01947260267868
0.5,3,-0.987327585283317
1,3,-0.973397446890809
1.5,3,-0.979910833883066
2,3,-1.00564572267667
2.5,3,-1.053062763347
3,3,-1.12139747998896
3.5,3,-1.20919470060804
-5,4,-1.81265308606159
-4.5,4,-1.72964370606159
-4,4,-1.64855478078972
-3.5,4,-1.56594063705533
-3,4,-1.48125473860662
-2.5,4,-1.39854058507853
-2,4,-1.31436835050704
-1.5,4,-1.23372945362671
-1,4,-1.15094126797405
-0.5,4,-1.07830974151117
0,4,-1.02049925695686
0.5,4,-0.988354239561498
1,4,-0.97442410116899
1.5,4,-0.980937488161247
2,4,-1.00667237695485
2.5,4,-1.05408941762518
3,4,-1.12242413426714
3.5,4,-1.21022135488622
4,4,-1.87300186866653
-5,5,-1.81367974033978
-4.5,5,-1.73067036033978
-4,5,-1.64958143506791
-3.5,5,-1.56696729133352
-3,5,-1.48228139288481
-2.5,5,-1.39956723935672
-2,5,-1.31539500478523
-1.5,5,-1.2347561079049
-1,5,-1.15196792225224
-0.5,5,-1.07933639578936
0,5,-1.02152591123505
0.5,5,-0.98938089383968
1,5,-0.975450755447172
1.5,5,-0.981964142439429
2,5,-1.00769903123304
2.5,5,-1.05511607190337
3,5,-1.12345078854533
